bgc_label,MAP_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,bec_area,category,area_des,percent_des,area_des_ha
CWH ms 2,CWHms2,CWH,Coastal Western Hemlock,ms,Moist Submaritime,2,Central,1331623789.3764753,04_Managed,912585704.984616,68.5317964627178,91258.57049846159
CWH un,CWHun,CWH,Coastal Western Hemlock,un,Undifferentiated,NA, ,16304858.022122145,01_PPA,16304858.022121,99.99999999999268,1630.4858022120955
CWH un,CWHun,CWH,Coastal Western Hemlock,un,Undifferentiated,NA, ,16304858.022122145,02_Protected_Other,0,0,0
CWH un,CWHun,CWH,Coastal Western Hemlock,un,Undifferentiated,NA, ,16304858.022122145,03_Exclude_1_2_Activities,0,0,0
CWH un,CWHun,CWH,Coastal Western Hemlock,un,Undifferentiated,NA, ,16304858.022122145,04_Managed,0,0,0
CWH vh 1,CWHvh1,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,1,Southern,4710188701.097496,01_PPA,1011874558.07301,21.48267558446734,101187.45580730111
CWH vh 1,CWHvh1,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,1,Southern,4710188701.097496,02_Protected_Other,4731075.95414516,0.10044344832814865,473.10759541451597
CWH vh 1,CWHvh1,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,1,Southern,4710188701.097496,03_Exclude_1_2_Activities,443178280.013604,9.408928349523256,44317.82800136035
CWH vh 1,CWHvh1,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,1,Southern,4710188701.097496,04_Managed,1379127461.76101,29.27966477096055,137912.74617610077
CWH vh 2,CWHvh2,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,2,Central,14143606110.932909,01_PPA,3875958410.22644,27.40431527734891,387595.84102264413
CWH vh 2,CWHvh2,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,2,Central,14143606110.932909,02_Protected_Other,2651899.18225176,0.018749809358745234,265.1899182251762
CWH vh 2,CWHvh2,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,2,Central,14143606110.932909,03_Exclude_1_2_Activities,918022423.803589,6.490723911591144,91802.24238035886
CWH vh 2,CWHvh2,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,2,Central,14143606110.932909,04_Managed,9198060594.1084,65.03334808651353,919806.0594108397
CWH vh 3,CWHvh3,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,3,Haida Gwaii,4014011354.2627254,01_PPA,3011366550.3225,75.02137598899789,301136.6550322505
CWH vh 3,CWHvh3,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,3,Haida Gwaii,4014011354.2627254,02_Protected_Other,0,0,0
CWH vh 3,CWHvh3,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,3,Haida Gwaii,4014011354.2627254,03_Exclude_1_2_Activities,183212667.866086,4.564328590439115,18321.26678660859
CWH vh 3,CWHvh3,CWH,Coastal Western Hemlock,vh,Very Wet Hypermaritime,3,Haida Gwaii,4014011354.2627254,04_Managed,819430399.887494,20.41425216740582,81943.03998874941
CWH vm 1,CWHvm1,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,1,Submontane,22516274892.68552,01_PPA,3654505716.20482,16.230507637797572,365450.5716204821
CWH vm 1,CWHvm1,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,1,Submontane,22516274892.68552,02_Protected_Other,14182275.9241581,0.06298677730553602,1418.227592415815
CWH vm 1,CWHvm1,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,1,Submontane,22516274892.68552,03_Exclude_1_2_Activities,1667497502.03326,7.405743223427046,166749.75020332632
CWH vm 1,CWHvm1,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,1,Submontane,22516274892.68552,04_Managed,7996789133.1457,35.51559559145141,799678.91331457
CWH vm 2,CWHvm2,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,2,Montane,16076190671.686958,01_PPA,3626317835.45465,22.557071569456056,362631.7835454645
CWH vm 2,CWHvm2,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,2,Montane,16076190671.686958,02_Protected_Other,17240.1934096974,1.0724053827042809e-4,1.7240193409697444
CWH vm 2,CWHvm2,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,2,Montane,16076190671.686958,03_Exclude_1_2_Activities,1789174194.65894,11.12934171532312,178917.41946589408
CWH vm 2,CWHvm2,CWH,Coastal Western Hemlock,vm,Very Wet Maritime,2,Montane,16076190671.686958,04_Managed,5023921878.0426,31.25069850590056,502392.1878042602
CWH wh 1,CWHwh1,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,1,Submontane,4910153268.80858,01_PPA,1285287755.02396,26.176122916338723,128528.77550239577
CWH wh 1,CWHwh1,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,1,Submontane,4910153268.80858,02_Protected_Other,1098280.47607144,0.022367539584725253,109.82804760714401
CWH wh 1,CWHwh1,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,1,Submontane,4910153268.80858,03_Exclude_1_2_Activities,135759357.157343,2.7648700503861012,13575.935715734258
CWH wh 1,CWHwh1,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,1,Submontane,4910153268.80858,04_Managed,3488005257.47724,71.03658616187315,348800.52574772376
CWH wh 2,CWHwh2,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,2,Montane,693734968.2788419,01_PPA,98440040.2808056,14.1898628124564,9844.004028080557
CWH wh 2,CWHwh2,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,2,Montane,693734968.2788419,02_Protected_Other,0,0,0
CWH wh 2,CWHwh2,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,2,Montane,693734968.2788419,03_Exclude_1_2_Activities,30883437.3326808,4.4517631004391625,3088.343733268081
CWH wh 2,CWHwh2,CWH,Coastal Western Hemlock,wh,Wet Hypermaritime,2,Montane,693734968.2788419,04_Managed,564411279.183704,81.35834360260222,56441.12791837037
CWH wm,CWHwm,CWH,Coastal Western Hemlock,wm,Wet Maritime,NA, ,3110682066.684333,01_PPA,444091351.524211,14.276333678728106,44409.13515242109
CWH wm,CWHwm,CWH,Coastal Western Hemlock,wm,Wet Maritime,NA, ,3110682066.684333,02_Protected_Other,0,0,0
CWH wm,CWHwm,CWH,Coastal Western Hemlock,wm,Wet Maritime,NA, ,3110682066.684333,03_Exclude_1_2_Activities,247011106.513267,7.9407377937712385,24701.110651326704
CWH wm,CWHwm,CWH,Coastal Western Hemlock,wm,Wet Maritime,NA, ,3110682066.684333,04_Managed,1022434127.30593,32.86848689090696,102243.41273059335
CWH ws 1,CWHws1,CWH,Coastal Western Hemlock,ws,Wet Submaritime,1,Submontane,2558594647.184099,01_PPA,31817468.4327701,1.243552528642524,3181.7468432770133
CWH ws 1,CWHws1,CWH,Coastal Western Hemlock,ws,Wet Submaritime,1,Submontane,2558594647.184099,02_Protected_Other,2617889.24190222,0.10231746731680917,261.78892419022196
CWH ws 1,CWHws1,CWH,Coastal Western Hemlock,ws,Wet Submaritime,1,Submontane,2558594647.184099,03_Exclude_1_2_Activities,151063237.46929,5.904148890311527,15106.323746929014
CWH ws 1,CWHws1,CWH,Coastal Western Hemlock,ws,Wet Submaritime,1,Submontane,2558594647.184099,04_Managed,855057937.530551,33.41904660324364,85505.79375305514
CWH ws 2,CWHws2,CWH,Coastal Western Hemlock,ws,Wet Submaritime,2,Montane,6971821380.323598,01_PPA,1128638895.44573,16.18858019844078,112863.88954457267
CWH ws 2,CWHws2,CWH,Coastal Western Hemlock,ws,Wet Submaritime,2,Montane,6971821380.323598,02_Protected_Other,0,0,0
CWH ws 2,CWHws2,CWH,Coastal Western Hemlock,ws,Wet Submaritime,2,Montane,6971821380.323598,03_Exclude_1_2_Activities,813401540.750317,11.666987669046721,81340.1540750317
CWH ws 2,CWHws2,CWH,Coastal Western Hemlock,ws,Wet Submaritime,2,Montane,6971821380.323598,04_Managed,1906592221.96392,27.34711803352915,190659.22219639155
CWH xm 1,CWHxm1,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,1,Eastern,4491015703.777841,01_PPA,103863794.014364,2.312701644017724,10386.379401436428
CWH xm 1,CWHxm1,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,1,Eastern,4491015703.777841,02_Protected_Other,15358129.8259706,0.3419745295713702,1535.8129825970632
CWH xm 1,CWHxm1,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,1,Eastern,4491015703.777841,03_Exclude_1_2_Activities,79978191.8856957,1.7808486356086024,7997.819188569574
CWH xm 1,CWHxm1,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,1,Eastern,4491015703.777841,04_Managed,820220294.41798,18.263581080957046,82022.02944179796
CWH xm 2,CWHxm2,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,2,Western,5044733059.555938,01_PPA,259398892.954661,5.141974607819873,25939.88929546609
CWH xm 2,CWHxm2,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,2,Western,5044733059.555938,02_Protected_Other,2394526.65118061,0.04746587426751559,239.4526651180614
CWH xm 2,CWHxm2,CWH,Coastal Western Hemlock,xm,Very Dry Maritime,2,Western,5044733059.555938,03_Exclude_1_2_Activities,181750167.961023,3.602770767359916,18175.01679610228
